Drama Name,Rating(Out of 10),Actors,Viewship Rate,Genre,Director,Writer,Year,No of Episodes,Network
Alchemy of soul,8.7,"Lee Jae-Wook, Jung So-min, Hwang Min-hyun, Go Yoon-jung, Shin Seung-ho, Arin, Yoo In-soo",7.5,"Fantasy, Romance, Historical, Action ",Park Joon-hwa,"Hong Jung-eun, Hong Mi-ran",2022,20,TvN
Today’s webtoon,7.4,"Kim Se-jeong, Choi Daniel, Nam Yoon-su ",2.6,Coming-of-age,"Jo Soo-won, Kim Young-hwan ","Cho Ye-rang, Lee Jae-eun ",2022,16,SBS
Again my life,7.8,"Lee Joon-gi, Lee Geung-young, Kim Ji-eun, Jung Sang-hoon ",9.2,"Fantasy, Action ","Han Chul-soo, Kim Yong-min","J, Kim Yul ",2022,16,SBS
Big Mouth,8,"Lee Jong-suk, Im Yoon-ah, Kim Joo-hun ",10,"Legal, Crime ","Oh Chung-hwan, Bae Hyun-jin ",Kim Ho-jun,2022,16,MBC
Good job,7.7,"Jung Il-woo, Kwon Yu-ri ",2.5,"Mystery, Fantasy, Romance ","Kang Min-gu, Kim Seong-jin ","Kim Jeong-ae, Kwon Hee-kyung ",2022,12,ENA
If you wish upon me,8.3,"Ji Chang-wook, Sung Dong-il, Choi Soo-young ",2.3,"Slice-of-life, Drama",Kim Yong-wan,Jo Ryeong-soo,2022,16,KBS
100 days my prince,7.7,"Doh Kyung-soo, Nam Ji-hyun, Jo Sung-ha, Jo Han-chul, Kim Seon-ho, Han So-hee, Kim Jae-young ",9.01,"Historical, Romance, Comedy ","Lee Jong-jae, Nam Sung-woo",No Ji-sul,2018,16,TvN
Little women,8,"Kim Go-eun, Nam Ji-hyun, Park Ji-hu, Wi Ha-joon, Kang Hoon, Uhm Ji-won, Choo Ja-hyun, Gong Min-jeung, Um Ki-joon",7.743,"Mystery, Drama ",Kim Hee-won,Jeong Seo-kyung,2022,12,TvN
The Law Cafe,7.4,"Lee Seung-gi, Lee Se-young",5.9,"Legal, Romance",Lee Eun-jin,Im Ji-eun,2022,16,KBS
Seasons of Blossom,7.5,"Seo Ji-hoon, So Joo-yeon, Kim Min-kyu, Kim Tae-Jung, Kyu Min Han, Kang Hyewon, Yoon Hyun-soo, Oh Yoo-jin",6,"Romance, Youth, Drama",Wang Hye-Ryung,"Hong Deok, Nemone",2022,16,WAVVE
Gaus electronics,7.9,"Kwak Dong-yeon, Ko Sung-hee, Bae Hyun-sung, Kang Min-ah",0.5,"Workplace, Romance, Comedy",Park Joon-soo,"Kang Go-eun, Seo Han-na",2022,12,ENA
Love in contract,6.9,"Park Min-young, Go Kyung-pyo, Kim Jae-young",3.171,"Romance, Comedy",Nam Sung-woo,Ha Goo-dam,2022,16,TvN
Fanletter Please,7.4,"Choi Soo-young, Yoon Park, Shin Yeon-woo.",1.43,"Romance, Comedy",Jeong Sang-hee,Park Tae-yang,2022,4,MBC
Love is for suckers,6.6,"Lee Da-hee, Choi Si-won",1.45,"Romance, Comedy",Choi Gyu-sik,Kim Sol-ji,2022,16,ENA
Under the queen’s umbrella,8.5,"Kim Hye-soo, Kim Hae-sook, Choi Won-young, Moon Sang-min, Bae In-hyuk, Yoon Sang-hyeon, Yoo Seon-ho, Park Ha-jun",9.86,"Historical, Comedy, Drama",Kim Hyung-sik,Park Ba-ra,2022,16,TvN
Reborn Rich,8.1,"Song Joong-ki, Lee Sung-min, Shin Hyun-been",17.399,"Fantasy, Revenge",Jung Dae-yoon,"Kim Tae-hee, Jang Eun-jae",2022,16,JTBC
May I help you,7.6,"Lee Hye-ri, Lee Jun-young",3.1,"Fantasy, Romance, Comedy","Shim Soo-yeon, Park Sun-young",Lee Sun-hye,2022,16,MBC
Cheer Up (2023),6.9,"Han Ji-hyun, Bae In-hyuk, Kim Hyun-jin, Jang Gyu-ri, Lee Eun-saem, Yang Dong-geun",2.3,"Romance, Comedy, Youth, Mystery, Musical",Hae Tae-seop,Cha Hae-won,2022,16,SBS
Revenge for others,7.6,"Shin Ye-eun, Lomon, Seo Ji-hoon, Chae Sang-woo, Lee Soo-min, Wooyeon, Jin Ho-eun",4,"Revenge, Youth, ",Kim Yoo-jin,Lee Hee-myung,2022,12,Disney+
Summer Strike,7.8,"Kim Seol-hyun, Im Si-wan",0.866,"Drama, Romance, Slice of life","Lee Yoon-jung, Hong Moon-pyo","Hong Moon-pyo, Lee Yoon-jung",2022,12,ENA
Bad Prosecutor,7.5,"Doh Kyung-soo, Lee Se-hee",5.2,"Legal, Drama","Kim Seong-ho, Choi Yeon-soo",Im Young-bin,2022,12,KBS
The fabulous,6.5,"Choi Min-ho, Chae Soo-bin",2,"Romance, Comedy",Kim Jung-hyun,"Kim Ji-hee, Im Jin-seon",2022,8,Netflix
The glory,8.1,"Song Hye-kyo, Lee Do-hyun, Lim Ji-yeon, Yeom Hye-ran, Park Sung-hoon, Jung Sung-il",9,"Revenge, Thriller",Ahn Gil-ho,Kim Eun-sook,2023,16,Netflix
Alchemy of Soul S2,8.5,"Lee Jae-wook, Jung So-min, Go Youn-jung, Hwang Min-hyun, Do Sang-woo, Yoo Jun-sang, Yoo In-soo, Lee Ha-yool, Shin Seung-ho",7.86,"Fantasy, Romance, Drama, Action",Park Joon-hwa,"Hong Jung-eun, Hong Mi-ran",2023,10,TvN
Would you like a cup of coffee,8.2,"Ong Seong-wu, Park Ho-san, Seo Young-hee, Kim Ye-eun, Choo Ye-jin",3,Slice-of-life,No Jung-wook,Huh Young-man,2021,12,KakaoTV
Rooftop Prince,7.7,"Park Yoo-chun, Han Ji-min, Jeong Yu-mi, Lee Tae-sung, Jung Suk-won, Choi Woo-shik, Lee Tae-ri, Lee Moon-sik",12.1,"Romance, Comedy, Drama, Time-travel",Shin Yoon-sub,Lee Hee-myung,2012,20,SBS
My only love song,7.1,"Lee Jong-hyun, Gong Seung-yeon",3,"Historical, Fantasy, Romance",Min Doo-sik,Kim Soo-jin,2017,20,Netflix
Unlock my boss,7.3,"Chae Jong-hyeop, Seo Eun-soo, Park Sung-woong",1.45,"Fantasy, Comedy, Thriller",Lee Cheol-ha,Kim Hyung-min,2022,12,ENA
The forbidden marriage,7.5,"Park Ju-hyun, Kim Young-dae, Kim Woo-seok",4,"Historical, Comedy, Romance, Drama","Park Sang-woo, Jeong Hoon",Chun Ji-hye,2022,12,MBC
Love to hate you,7.9,"Kim Ok-vin, Teo Yoo, Kim Ji-hoon, Go Won-hee",4,"Romance, Comedy",Kim Jung-kwon,Choi Soo-young,2023,10,Netflix
Top Management,7,"Seo Eun-soo, Ahn Hyo-seop, Cha Eun-woo, Jung Yoo-ahn, Bang Jae-min",4.5,"Romance, Drama, Comedy",Yoon Sung-ho,"Jang Eun-mi, Kim Jung-hee, Lim Jung-min, Park Seul-gi, Yoo Su-ji, Yoon Yang-woon",2018,16,Youtube Originals
Taxi Driver,8,"Lee Je-hoon, Esom, Kim Eui-sung, Pyo Ye-jin, Jang Hyuk-jin, Bae Yoo-ram, Shin Jae-ha",12.6,"Action, Crime, Thriller, Revenge",Park Joon-woo,"Oh Sang-ho, Lee Ji-hyun",2021,16,SBS
The world of married,8,"Kim Hee-ae, Park Hae-joon, Han So-hee, Park Sun-young, Kim Young-min, Chae Gook-hee, Lee Geung-young, Kim Sun-kyung, Jeon Jin-seo, Shim Eun-woo, Lee Hak-joo, Lee Moo-saeng",18.83,"Drama, Romance, Thriller, Revenge","Mo Wan-li, Kim Sung-jin",Kim Sung-jin,2020,16,JTBC
Crash course in romance,7.8,"Jeon Do-yeon, Jung Kyung-ho, Roh Yoon-seo, Oh Eui-shik, Lee Bong-ryun, Kim Mi-kyung",10.73,"Romance, Comedy",Yoo Je-won,Yang Hee-seung,2023,16,TvN
Island,6.9,"Kim Nam-gil, Lee Da-hee, Cha Eun-woo, Sung Joon",2.022,"Fantasy, Action ",Bae Jong,Oh Bo-hyun,2022,12,TVING
Kingdom S1,8.3,"Ju Ji-hoon, Ryu Seung-ryong, Bae Doo-na, Kim Sang-ho, Kim Sung-kyu, Kim Hye-jun",10,"Historical, Drama, Horror, Thriller","Kim Seong-hun, Park In-je",Kim Eun-hee,2019,6,Netflix
Kingdom S2,8.3,"Ju Ji-hoon, Ryu Seung-ryong, Bae Doo-na, Kim Sang-ho, Kim Sung-kyu, Kim Hye-jun",12,"Historical, Drama, Horror, Thriller","Kim Seong-hun, Park In-je",Kim Eun-hee,2020,6,Netflix
Sacred Idol,6.5,"Kim Min-kyu, Go Bo-gyeol, Lee Jang-woo",1.832,"Fantasy, Romance, Comedy","Lee So-yoon, Park So-yeon",Lee Cheon-geum,2023,12,TvN
Kokdu,6.6,"Kim Jung-hyun, Im Soo-hyang, Kim Da-som, Ahn Woo-yeon, Kim In-kwon, Cha Chung-hwa",2.1,"Fantasy, Romance, Comedy","Baek Soo-chan, Kim Ji-hoon","Kang Yi-heon, Heo Jun-woo",2023,16,MBC
Delivery man,7,"Yoon Chan-young, Bang Min-ah, Kim Min-seok",1,"Fantasy, Romance, Comedy, Mystery","Kang Sol, Park Dae-hee","Joo Hyo-jin, Park Hye-young, Han Bo-kyung",2023,12,ENA
Our Blooming youth,7.7,"Park Hyung-sik, Jeon So-nee, Pyo Ye-jin, Yoon Jong-seok, Lee Tae-sun",3.696,"Historical, Romance, Mystery",Lee Jong-jae,Jung Hyeon-jeong,2023,20,TvN
Call it love,7.8,"Lee Sung-kyung, Kim Young-kwang",2.5,"Drama, Romance",Lee Kwang-young,Kim Ga-eun,2023,16,Disney+
Taxi Driver S2,8,"Lee Je-hoon, Esom, Kim Eui-sung, Pyo Ye-jin, Jang Hyuk-jin, Bae Yoo-ram, Shin Jae-ha",15,"Action, Crime, Thriller, Revenge",Lee Dan,Oh Sang-ho,2023,16,SBS
Duty after school,6.8,"Shin Hyun-soo, Lee Soon-won, Im Se-mi, Kwon Eun-bin, Kim Ki-hae, Kim Min-chul, Kim So-hee, Kim Su-gyeom, Kim Jung-lan, Moon Sang-min, Shin Myung-sung, Shin Su-hyun, Shin Hye-ji, Ahn Da-eun, Ahn Do-gyu, Yeo Joo-ha, Oh Se-eun, Woo Min-gyu, Yoon Jong-bin, Lee Yeon, Ji Min-hyuk, Choi Moon-hee, Hong Sa-bin Hwang Se-in",9,"Coming-of-age, Military, Action, Thriller",Seong Yong-ji,Yoon Soo,2023,10,TVING
The secret romantic guesthouse,7.3,"Shin Ye-eun, Ryeoun, Jung Gun-joo, Kang Hoon",3.9,"Historical, Comedy, Romance, Mystery",Kim Jung-min,"Kwon Eum-mi, Kim Ja-hyun",2023,18,SBS
Family,6.5,"Jang Hyuk, Jang Na-ra, Chae Jung-an, Kim Nam-hee",3.324,"Comedy, Drama, Spy","Jang Jeong-do, Lee Jung-mook",Jeong Yoo-seon,2023,12,TvN
The good bad mother,8.4,"Ra Mi-ran, Lee Do-hyun, Ahn Eun-jin, Yoo In-soo",8.159,"Family, Comedy, Slice-of-life",Shim Na-yeon,Bae Se-young,2023,14,JTBC
Tale of the nine tailed 1938,7.9,"Lee Dong-wook, Kim So-yeon, Kim Bum, Ryu Kyung-soo",6.194,"Action, Fantasy","Kang Shin-hyo, Jo Nam-hyung",Han Woo-ri,2023,12,TvN
My perfect stranger,8.1,"Kim Dong-wook, Jin Ki-joo",4.4,"Fantasy, Mystery, Romance, Time-travel","Kang Soo-yeon, Lee Woong-hee",Baek So-yeon,2023,16,KBS
Oasis,7.3,"Jang Dong-yoon, Seol In-ah, Choo Young-woo",6.9,"Drama, Romance, Coming-of-age",Han Hee,Jung Hyung-soo,2023,16,KBS
Hearbeat,7.1,"Ok Taec-yeon, Won Ji-an, Park Kang-hyun, Yoon So-hee",2.8,"Fantasy, Romance, Comedy","Lee Hyun-seok, Lee Min-soo",Kim Ha-na,2023,16,KBS
See you in my 19th life,7.7,"Shin Hye-sun, Ahn Bo-hyun, Ha Yoon-kyung, Ahn Dong-goo",4.664,"Fantasy, Romance",Lee Na-jeong,Choi Young-lim,2023,12,TvN
King the land,4.5,"Lee Jun-ho, Im Yoon-ah",10.205,"Romance, Comedy",Im Hyun-wook,Choi Rom,2023,16,JTBC
A time called you,7.8,"Ahn Hyo-seop, Jeon Yeo-been, Kang Hoon",6,"Time-travel, Mystery, Romance",Kim Jin-won,Choi Hyo-bi,2023,12,Netflix
My lovely liar,7.5,"Kim So-hyun, Hwang Min-hyun, Seo Ji-hoon, Lee Si-woo, Yoon Ji-on, Park Kyung-hye",2.928,"Mystery, Romance, Comedy",Nam Sung-woo,Seo Jeong-eun,2023,16,TvN
Behind the touch,7.4,"Han Ji-min, Lee Min-ki, Suho",7.057,"Comedy, Drama, Suspense, Thriller, Fantasy","Kim Seok-yoon, Choi Bo-yoon","Lee Nam-gyu, Oh Bo-hyeon, Kim Da-hee",2023,16,JTBC
The Uncanny Counter S2,8,"Jo Byeong-kyu, Yoo Jun-sang, Kim Se-jeong, Yeom Hye-ran, Ahn Suk-hwan, Yoo In-soo",4.527,"Fantasy, Mystery, Thriller, Action","Yoo Seon-dong, Park Bong-seop","Yeo Ji-na, Yoo Seon-dong, Kim Sae-bom",2023,14,TvN
Destined with you,7.6,"Jo Bo-ah, Rowoon, Ha Jun, Yura",2.613,"Fantasy, Romance",Nam Ki-hoon,Noh Ji-sul,2023,16,JTBC
Miss Hammurabi,7.4,"Go Ara, Kim Myung-soo, Sung Dong-il",4.401,"Legal, Drama",Kwak Jung-hwan,Moon Yoo-seok,2018,16,JTBC
Mask Girl,7.3,"Lee Han-byeol, Nana, Go Hyun-jung, Ahn Jae-hong, Yeom Hye-ran",2.5,"Comedy, Crime, Thriller",Kim Young-hoon,Kim Young-hoon,2023,7,Netflix
Doona,7.2,"Bae Suzy, Yang Se-jong, Nam Hye-seung",2.5,Romance,Lee Jeong-hyo,Jang Yoo-ha,2023,9,Netflix
Revenant,7.9,"Kim Tae-ri, Oh Jung-se, Hong Kyung",10.4,"Mystery, Thriller, Horror","Lee Jung-rim, Kim Jae-hong",Kim Eun-hee,2023,12,SBS
Daily dose of sunrise,8.3,"Park Bo-young, Yeon Woo-jin, Jang Dong-yoon, Lee Jung-eun",9,"Medical, Comedy, Drama","Lee Jae-kyoo, Kim Nam-su","Lee Nam-gyu, Oh Bo-hyeon, Kim Da-hee",2023,12,Netflix
Hellbound,6.6,"Yoo Ah-in, Kim Hyun-joo, Park Jeong-min, Woh Jin-ah, Yang Ik-june",9,"Drama, Fantasy, Thriller",Yeon Sang-ho,Choi Gyu-seok,2021,6,Netflix
Twinkling Watermelon,8.9,"Ryeoun, Choi Hyun-wook, Seol In-ah, Shin Eun-soo",3.626,"Fantasy, Romance, Time-travel, Slice-of-life","Yoo Beom-sang, Son Jeong-hyeon",Jin Soo-wan,2023,16,TvN
Perfect Marriage Revenge,7.9,"Jung Yoo-min, Sung Hoon, Jin Ji-hee, Kang Shin-hyo, Oh Seung-yoon",2.074,"Romance, Drama",Oh Sang-won,Im Seo-ra,2023,12,MBN
Castaway Diva,8,"Park Eun-bin, Kim Hyo-jin, Chae Jong-hyeop, Cha Hak-yeon, Kim Joo-hun",6.794,"Romance, Comedy",Oh Chung-hwan,"Park Hye-ryun, Eun Yeol",2023,12,TvN
Matchmaker,7.6,"Rowoon, Cho Yi-hyun",4.2,"Romance, Period, Drama","Hwang Seung-gi, Kim Soo-jin",Ha Soo-jin,2023,16,KBS
Moon in the day,7.1,"Kim Young-dae, Pyo Ye-jin, On Joo-wan, Jung Woong-In, Lee Geung-young",1.621,"Fantasy, Romance","Pyo Min-soo, Park Chan-yul","Kim Hye-won, Jung Seong-eun",2023,14,ENA
My dearest,8.9,"Namkoong Min, Ahn Eun-jin, Lee Hak-joo, Lee Da-in, Kim Yoon-woo, Lee Chung-ah",9.7,"Historical, Drama, Romance","Kim Seong-yong, Lee Han-jun, Cheon Soo-jin",Hwang Jin-young,2023,21,MBC
school 2015,7.6,"Kim So-hyun, Nam Joo-hyuk, Yook Sung-jae",6.3,Mystery,"Baek Sang-hoon, Kim Seong-yoon","Kim Min-jung, Im Ye-jin",2015,16,KBS
Death's Game,8.6,"Seo In-guk, Park So-dam",7,"Fantasy, Actionm Horror",Ha Byung-hoon,Ha Byung-hoon,2023,8,TVING
Gyeongseong Creature,7.3,"Park Seo-joon, Han So-hee, Claudia Kim",7,"Historical, Mystery, Horror, Thriller, Action","Chung Dong-yoon, Roh Young-sub",Kang Eun-kyung,2024,10,Netflix
The story of Park's contract marriage,7.5,"Lee Se-young, Bae In-hyuk, Joo Hyun-young, Yoo Seon-ho ",7.6,"Romance, Comedy, Drama, Fantasy",Park Sang-hoon,Go Nam-jeong,2024,12,MBC
A good day to be a dog,7.2,"Park Gyu-young, Cha Eun-woo, Lee Hyun-woo",1.9,"Romance, Comedy, Fantasy",Kim Dae-woong,Baek In-ah,2024,14,MBC
My demon,7.7,"Kim Yoo-jung, Song kang, Lee Sang-yi, Kim Hae-sook",3.9,"Fantasy, Romance, Comedy","Kim Jang-han, Kwon Da-som",Choi Ah-il,2024,16,SBS
Wecome to samdalri,8.1,"Ji Chang-wook, Shin Hye-sun",7.946,"Romance, Comedy",Cha Young-hoon,Kwon Hye-joo,2024,16,JTBC
The sand flower,7.5,"Jang Dong-yoon, Lee Ju-myoung, Yeon Jong-seok, Kim Bo-ra, Lee Jae-joon, Lee Joo-seung",2.079,"Slice-of-life, Romance, Comedy, Sports",Kim Jin-woo,Won Yoo-jun,2024,12,ENA
All of us are death,7.5,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon",5,"Horror, Zombie","Lee Jae-kyoo, Kim Nam-su",Chun Sung-il,2022,12,Netflix
The bequeathed ,6.4,"Kim Hyun-joo, Park Hee-soon, Park Byung-eun, Ryu Kyung-soo",2,"Thriller, Suspense, Horror",Min Hong-nam,"Yeon Sang-ho, Min Hong-nam, Hwang Eun-young",2024,6,Netflix
Bulgasal ,7.4,"Lee Jin-wook, Kwon Nara, Lee Joon, Gong Seung-yeon, Jung Jin-young, Park Myung-shin, Kim Woo-seok",4.288,"Fantasy, Thriller",Jang Young-woo,"Kwon So-ra, Seo Jae-won",2022,16,TvN
A killer paradox,7.2,"Choi woo-shik, Son Suk-ku, Lee Hee-joon",7,"Crime, Thriller",Lee Chang-hee,Kim Da-min,2024,8,Netflix
The cursed,7.1,"Uhm Ji-won, Jung Ji-so, Sung Dong-il, Jo Min-su",4.233,"Thriller, Mystery, Horror",Kim Yong-wan,Yeon Sang-ho ,2021,12,TvN 
Marry my husband,7.9,"Park Min-young, Na In-woo, Lee Yi-kyung, Song ha-yoon",9.126,"Romance, Comedy, Fantasy, Time-travel, Workplace","Park Won-guk, Han Jin-seon",Shin Yoo-dam,2024,16,TvN 
Memorist,7.6,"Yoo Seung-ho, Lee Se-young, Jo sung-ha",2.836,"Crime, Mystery, Fantasy","Kim Whee, Oh Seung-yeol, So Jae-hyun","Ahn Do-ha, Hwang Ha-na",2020,16,TvN 
A shop for killer,8.1,"Lee Dong-wook, Kim Hye-jun",7,"Action, Drama","Lee Kwon, Noh Kyu-yeob","Ji Ho-jin, Lee Kwon",2024,8,Disney+ 